id	filename	md5	size	state
fa25b1ba-336b-48fa-88e7-7282c29afb41	4828a263-cf82-4d96-a534-f92d2a3f8705.rna_seq.augmented_star_gene_counts.tsv	2a88e7a587d07ec6cd3b35c8fdf038b1	4223654	released
4ba554d4-16f2-4454-ae7e-269a86c71b65	d7927187-cbc0-4e31-babc-35e08de34960.rna_seq.augmented_star_gene_counts.tsv	eb561755177f3a0d7413391386b51285	4239117	released
29505a06-ca86-41bb-93f8-12286214dfa7	c0479326-d92f-421e-a01b-4216a54b442a.rna_seq.augmented_star_gene_counts.tsv	f0a4a02bd18723094b9aa0b1d9338489	4233323	released
fbb2671a-ad73-4a1f-99ab-2b20e81dca34	7e3a4a04-345b-4c37-aac2-6198710efe7b.rna_seq.augmented_star_gene_counts.tsv	f49ee1e820e6fa2daa1ebfcec5d4a8e0	4235129	released
69918f28-2eda-43d2-83a6-024e6c047cc4	17e5b97a-3642-4ce6-b5bb-f05728e13c53.rna_seq.augmented_star_gene_counts.tsv	9004dcddf76d33f908e1e9a4b7012724	4234938	released
11f764d3-db26-4569-acf4-87fe91bfe1ce	d7d9f7aa-3ac1-454e-b5f8-176bff51d9f6.rna_seq.augmented_star_gene_counts.tsv	7ce45c54187db82b5e29aed463a5eeb5	4237278	released
662efb10-1e34-43d3-a50f-9b57238bf3ef	18f0d923-c97c-4733-9f57-e48669262066.rna_seq.augmented_star_gene_counts.tsv	22497bfcc7329389bf51f2acbf548a9c	4232731	released
1b991c2f-bd69-402e-a872-448fb8ef130c	65575a51-6350-4bf5-96b8-ca2062fbf511.rna_seq.augmented_star_gene_counts.tsv	4497f901e996d9c324deb282fee5dd42	4229835	released
86bad1b0-ea08-4810-a99b-cd4af9411e3a	ce3ed392-b8bb-4f54-9718-7bae5b148d63.rna_seq.augmented_star_gene_counts.tsv	233f6b6541a46f61095c9d5d1621fa81	4234110	released
4fb72adf-dc84-4945-850a-2d2e585bdf24	156adfcd-b9fe-466d-8476-1c8c11656de0.rna_seq.augmented_star_gene_counts.tsv	eab89c8fbc080ea93328a3f7a017c666	4229529	released
