id	filename	md5	size	state
278eaf03-67c4-4179-a393-e043bc1f9629	cd2282ba-4281-4d7f-93ff-dafcd97d8fa6.rna_seq.augmented_star_gene_counts.tsv	e4523df5a0300c6a75d53e4b2e731020	4232247	released
da735a38-ac2a-4bf0-8945-ddd923ddd46e	d7d328a3-18bc-4106-88be-cf62e1be9d45.rna_seq.augmented_star_gene_counts.tsv	058ee06f14a64d3a8456e014aa0c5eba	4230604	released
b40f823a-6abd-4e98-8cca-16d2544513d1	4037f4eb-2a7d-4736-83a3-a95f27a4617c.rna_seq.augmented_star_gene_counts.tsv	9afdefc0bcc9816171c4d2758c5a693d	4237439	released
6c73f379-0364-42b5-a08e-0baba850aa10	54c79297-a95d-479a-a472-9919e62ae157.rna_seq.augmented_star_gene_counts.tsv	e09db34f8338c0bcbddf9262a8ee125a	4237571	released
46426e38-f14a-4102-968d-76c76bcd60d0	c14f7414-8ec5-45f2-829a-04cf0167036b.rna_seq.augmented_star_gene_counts.tsv	0f0e37ff23ef0fcc9409345f7071514e	4226631	released
b168c3c0-ed79-4efa-bb3a-8643b0d6730d	3762a9a6-7e21-44f9-b973-f0a99ee4d763.rna_seq.augmented_star_gene_counts.tsv	65a701ab14030ba56f942746d30a1226	4235595	released
b127a551-67ed-46f9-808e-0071e11bec53	261f486a-bcd4-4c37-a812-f2cc6ef7cc7b.rna_seq.augmented_star_gene_counts.tsv	b4b217996d6526fa440366ce64ddbcd7	4232732	released
66a13830-5fa6-4603-92d8-1c804af2d51e	74863b7e-3485-4047-813a-1793dc8d9621.rna_seq.augmented_star_gene_counts.tsv	2ba7f03f3ed573dc051e2cc1353a1f15	4225221	released
7b6abb2a-e346-41af-8c70-4adc14a1ef95	67a7055f-3804-45b4-b95d-73c4ca6b78d1.rna_seq.augmented_star_gene_counts.tsv	5a186d5cbbe1c743a104dec585a24024	4240623	released
2fd2944a-c3f5-4b94-85ad-44acee4dccda	0cfccd17-0acd-48fb-8c0d-a06960e62ab4.rna_seq.augmented_star_gene_counts.tsv	4e3964387fa23b325a44ea69e0eabb70	4227651	released
b17e098a-e8a6-4aea-a9d5-8f6c4744cfc6	ca2861f5-ac05-4a08-ba47-3a6e439502a1.rna_seq.augmented_star_gene_counts.tsv	8a16fab2673cc15056120f35640ddd7a	4235285	released
c6c6d9f0-b941-4fa6-9b00-593aef2fadca	d5fc1def-d651-4d9c-acbe-315e65ccd084.rna_seq.augmented_star_gene_counts.tsv	71a6db8f4ecd603d380395fb999f4af9	4236292	released
cfb7b25d-e966-4227-a92c-40caaf2cffb7	8d9d9158-6029-49b6-81f4-b2a45073d8fa.rna_seq.augmented_star_gene_counts.tsv	35ad3926ef54a4343a26635bb3278151	4239712	released
025e4db8-0685-41b5-ab41-cb779890296b	0ab8f315-bca0-43f8-8027-3f8ea94b371c.rna_seq.augmented_star_gene_counts.tsv	3b3cc594044092e28811de7711138824	4238648	released
e0c9ebd1-0ada-4944-900a-4044c019ac0b	78c7671c-ee86-40bc-93ac-c28812fbb713.rna_seq.augmented_star_gene_counts.tsv	51eda20049c432cce1a9a349cfc9a2a7	4231803	released
32123ca8-2752-4343-9c97-e8b642acb9a0	c84e6387-d777-42e3-ba56-f6cc15f5c4a1.rna_seq.augmented_star_gene_counts.tsv	ee23f9e9abcdf169a8ef5a6f0a03e17f	4242092	released
f8f6de2a-544b-4398-8604-8a04f68b250d	27f60e79-54d1-443a-bdf7-645fda1bde47.rna_seq.augmented_star_gene_counts.tsv	19361b9fdfc17e8797fffd6279f6ca2a	4236806	released
5e19e9fb-6658-442f-a074-ab556962f63d	c14748a8-04dc-4836-853e-cbf480520ebd.rna_seq.augmented_star_gene_counts.tsv	5de2b498cee01e20671bb51efc56e579	4242093	released
775d8f3d-31cd-4828-9294-9db94a12e690	ec8f8dd0-6583-4584-ab50-45641d308cb1.rna_seq.augmented_star_gene_counts.tsv	cf0d3f92fb368e7c38133f132e63e8a4	4233839	released
92437843-a04e-404e-97b5-383258cc024c	c530fdd2-c4cb-4df5-8b5e-1ce0fc44ea6f.rna_seq.augmented_star_gene_counts.tsv	1c91733548b5c9923de121b6dfa01b3f	4234529	released
edfe5ec4-3623-41ae-8dec-d6c8d62f7590	360adeb6-b5f2-4bfb-a8c2-ca72154fccac.rna_seq.augmented_star_gene_counts.tsv	925e72a1667d080bca2c846b55ad04bc	4231714	released
9356c4bb-7029-460f-882d-1dacf8fbe63e	f9836c75-e32e-4c24-acd6-c41e55711cff.rna_seq.augmented_star_gene_counts.tsv	f1a998142028253f1a7d9aeacbcd2f3b	4235606	released
06853a17-c3e8-42dd-800f-529366a4170a	54d7da4f-61b3-463a-9520-ad91fa54ee3c.rna_seq.augmented_star_gene_counts.tsv	10c24fbc8dcd7b27e87410d1423e418b	4234614	released
93c321f2-32b5-4e24-a840-0484b2b7d3b2	49516f62-6147-4d2e-9b83-778d6c376ede.rna_seq.augmented_star_gene_counts.tsv	0f8359ad0ba27149baf5d0c0660c85a1	4227980	released
6ffc039f-1a71-4ee9-adbe-97024e9ec6cf	596a9081-dc16-42b6-b58b-d418c3a30d76.rna_seq.augmented_star_gene_counts.tsv	d4b33f27ac904d27157531761c523ddc	4241036	released
e1494839-503b-4601-97c2-9dff2c6b7632	ed0bf573-b29d-4cce-b149-d55a51171237.rna_seq.augmented_star_gene_counts.tsv	c3f703245ea4ec2f506fbf3ed4cf1f58	4245727	released
3414145f-adec-4235-88b3-a31919ace563	f9806a31-d0e2-4bea-858b-3934067ba2f4.rna_seq.augmented_star_gene_counts.tsv	5770657cc44f0f7f642b50e6780a9fa0	4233798	released
9efe1375-6e80-4987-a6e2-0cbb8867b0a9	4f51011c-4b50-419d-b18c-ea503b2afc75.rna_seq.augmented_star_gene_counts.tsv	0b67f2b3ee82304c62d2ffc211030d11	4236135	released
09fc1122-9213-460a-84d4-b9bf9e3816a6	0ba2efe7-43ec-442d-9a5a-89413f20f8c1.rna_seq.augmented_star_gene_counts.tsv	e1637179547e2843b20f928a140d1421	4236592	released
7d832824-0767-4801-b8bb-4ac0a231511f	88b5b2e0-8964-430c-b8cc-a073bc16810e.rna_seq.augmented_star_gene_counts.tsv	5fdc790967598a4425e70e1baa5dcc57	4247216	released
f81cd722-db09-40ee-9ac1-a0571f43dc30	a2f19b0e-eeab-47ef-aa22-61c779b9a075.rna_seq.augmented_star_gene_counts.tsv	c41293371099c89c5302ee842556a511	4235475	released
